1st ->,A (UBL),B (UBR),D (UFL),E (LUB),F (LUF),G (LDF),H (LDB),I (FUL),K (FDR),L (FDL),N (RUB),O (RDB),P (RDF),Q (BUR),R (BUL),S (BDL),T (BDR),U (DFL),V (DFR),W (DBR),X (DBL)
A (UBL),,U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,,U-Top / D-Side,U-Top / D-Side,U-Top / D-Bottom,Special,U-Top / D-Bottom,Special
B (UBR),U-Any / U-Any,,U-Any / U-Any,U-Any / U-Any,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,,U-Top / D-Side,U-Top / D-Side,,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Top / D-Bottom,Special,Special,U-Top / D-Bottom
D (UFL),U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,,U-Top / D-Side,U-Top / D-Side,,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,U-Any / U-Any,U-Any / U-Any,U-Top / D-Side,U-Top / D-Side,Special,Special,U-Top / D-Bottom,Special
E (LUB),,U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,U-Side / D-Any,U-Side / D-Any,U-Any / U-Any,U-Side / D-Any,U-Side / D-Any,U-Any / U-Any,Special,U-Side / D-Any,U-Any / U-Any,,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any
F (LUF),U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,,LUF / D-Any,LUF / D-Any,,Special,LUF / D-Any,U-Any / U-Any,Special,LUF / D-Any,U-Any / U-Any,U-Any / U-Any,Special,LUF / D-Any,LUF / D-Any,LUF / D-Any,Special,LUF / D-Any
G (LDF),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,LUF / D-Any,,Special,Special,D-Side / D-Side,,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,BUR / D-Any,Special,D-Side / D-Side,Special,,D-Side / D-Bottom,D-Side / D-Bottom,Special
H (LDB),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,LUF / D-Any,Special,,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,Special,Special,,D-Side / D-Side,Special,Special,Special,
I (FUL),U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,,Special,U-Side / D-Any,,Special,U-Side / D-Any,U-Any / U-Any,U-Side / D-Any,U-Side / D-Any,U-Any / U-Any,U-Any / U-Any,Special,U-Side / D-Any,U-Side / D-Any,Special,U-Side / D-Any,U-Side / D-Any
K (FDR),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,Special,D-Side / D-Side,D-Side / D-Side,Special,,Special,U-Side / D-Any,D-Side / D-Side,,BUR / D-Any,U-Side / D-Any,D-Side / D-Side,Special,Special,,D-Side / D-Bottom,Special
L (FDL),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,LUF / D-Any,,D-Side / D-Side,U-Side / D-Any,Special,,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,Special,Special,D-Side / D-Side,D-Side / D-Side,,Special,D-Side / D-Bottom,D-Side / D-Bottom
N (RUB),U-Any / U-Any,,U-Any / U-Any,U-Any / U-Any,U-Any / U-Any,U-Side / D-Any,U-Side / D-Any,U-Any / U-Any,U-Side / D-Any,U-Side / D-Any,,U-Side / D-Any,U-Side / D-Any,,U-Any / U-Any,U-Side / D-Any,Special,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any,U-Side / D-Any
O (RDB),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,Special,Special,D-Side / D-Side,D-Side / D-Side,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,U-Side / D-Any,,Special,BUR / D-Any,Special,D-Side / D-Side,,D-Side / D-Bottom,Special,,D-Side / D-Bottom
P (RDF),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,LUF / D-Any,D-Side / D-Side,D-Side / D-Side,U-Side / D-Any,,D-Side / D-Side,U-Side / D-Any,D-Side / D-Side,,BUR / D-Any,Special,D-Side / D-Side,D-Side / D-Side,D-Side / D-Bottom,,Special,D-Side / D-Bottom
Q (BUR),U-Any / U-Any,,U-Any / U-Any,U-Any / U-Any,U-Any / U-Any,BUR / D-Any,Special,U-Any / U-Any,BUR / D-Any,Special,,BUR / D-Any,BUR / D-Any,,U-Any / U-Any,BUR / D-Any,Special,BUR / D-Any,Special,BUR / D-Any,BUR / D-Any
R (BUL),,U-Any / U-Any,U-Any / U-Any,,U-Any / U-Any,Special,Special,U-Any / U-Any,U-Side / D-Any,Special,U-Any / U-Any,Special,Special,U-Any / U-Any,,U-Side / D-Any,Special,U-Side / D-Any,U-Side / D-Any,Special,Special
S (BDL),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,Special,D-Side / D-Side,,Special,D-Side / D-Side,D-Side / D-Side,U-Side / D-Any,D-Side / D-Side,D-Side / D-Side,BUR / D-Any,U-Side / D-Any,,Special,D-Side / D-Bottom,D-Side / D-Bottom,D-Side / D-Bottom,
T (BDR),U-Top / D-Side,U-Top / D-Side,U-Top / D-Side,U-Side / D-Any,LUF / D-Any,Special,D-Side / D-Side,U-Side / D-Any,Special,D-Side / D-Side,Special,,D-Side / D-Side,Special,Special,Special,,D-Side / D-Bottom,D-Side / D-Bottom,,D-Side / D-Bottom
U (DFL),U-Top / D-Bottom,U-Top / D-Bottom,Special,U-Side / D-Any,LUF / D-Any,,Special,U-Side / D-Any,Special,,U-Side / D-Any,D-Side / D-Bottom,D-Side / D-Bottom,BUR / D-Any,U-Side / D-Any,D-Side / D-Bottom,D-Side / D-Bottom, ,D-Bottom / D-Bottom,D-Bottom / D-Bottom,D-Bottom / D-Bottom
V (DFR),Special,Special,Special,U-Side / D-Any,LUF / D-Any,D-Side / D-Bottom,Special,Special,,Special,U-Side / D-Any,Special,,Special,U-Side / D-Any,D-Side / D-Bottom,D-Side / D-Bottom,D-Bottom / D-Bottom,,D-Bottom / D-Bottom,D-Bottom / D-Bottom
W (DBR),U-Top / D-Bottom,Special,U-Top / D-Bottom,U-Side / D-Any,Special,D-Side / D-Bottom,Special,U-Side / D-Any,D-Side / D-Bottom,D-Side / D-Bottom,U-Side / D-Any,,Special,BUR / D-Any,Special,D-Side / D-Bottom,,,D-Bottom / D-Bottom,,D-Bottom / D-Bottom
